Date,Open,High,Low,Close,Adj Close,Volume
2018-01-02,231.500000,232.500000,231.000000,232.500000,213.912537,18055269
2018-01-03,236.000000,238.000000,235.500000,237.000000,218.052811,29308091
2018-01-04,240.000000,240.000000,236.500000,239.500000,220.352921,29096613
2018-01-05,240.000000,240.000000,238.000000,240.000000,220.812943,22438255
2018-01-08,242.000000,242.500000,240.500000,242.000000,222.653061,20233692
2018-01-09,242.000000,242.000000,239.500000,242.000000,222.653061,19043123
2018-01-10,241.500000,242.000000,236.000000,236.500000,217.592773,23631220
2018-01-11,235.000000,236.000000,232.500000,235.000000,216.212692,30446338
2018-01-12,234.500000,238.000000,233.500000,237.000000,218.052811,21513291
2018-01-15,240.000000,240.000000,238.000000,240.000000,220.812943,27476533
2018-01-16,240.000000,240.500000,238.000000,240.500000,221.272980,21691632
2018-01-17,240.500000,243.000000,239.000000,242.000000,222.653061,38046119
2018-01-18,245.000000,250.000000,245.000000,248.500000,228.633408,49896952
2018-01-19,253.500000,255.500000,251.500000,255.500000,235.073792,50549292
2018-01-22,257.500000,262.000000,257.000000,261.500000,240.594116,43400509
2018-01-23,262.500000,266.000000,262.500000,266.000000,244.734360,33527444
2018-01-24,263.000000,263.000000,256.500000,258.000000,237.373932,41874813
2018-01-25,258.000000,264.000000,256.500000,258.000000,237.373932,44643756
2018-01-26,256.500000,257.500000,253.500000,255.000000,234.613770,39555523
2018-01-29,259.000000,261.500000,255.000000,258.500000,237.833969,30071234
2018-01-30,256.000000,257.500000,252.500000,253.000000,232.773666,36860591
2018-01-31,253.000000,257.500000,252.000000,255.000000,234.613770,44136808
2018-02-01,257.500000,261.000000,257.000000,259.500000,238.754013,30559457
2018-02-02,259.000000,260.000000,255.000000,259.500000,238.754013,25707560
2018-02-05,251.000000,254.500000,250.500000,253.000000,232.773666,45594379
2018-02-06,242.500000,243.500000,234.000000,239.000000,219.892914,102409048
2018-02-07,245.000000,245.500000,239.500000,240.000000,220.812943,80063178
2018-02-08,239.500000,242.000000,238.000000,238.500000,219.432877,30989550
2018-02-09,230.000000,233.000000,228.500000,232.500000,213.912537,65735265
2018-02-12,235.500000,237.500000,235.000000,236.500000,217.592773,35635236
2018-02-21,244.500000,244.500000,242.000000,242.500000,223.113098,71504174
2018-02-22,244.000000,244.000000,239.000000,239.500000,220.352921,39239993
2018-02-23,241.000000,245.000000,241.000000,245.000000,225.413223,26985776
2018-02-26,247.000000,247.500000,245.000000,246.500000,226.793289,35901810
2018-02-27,250.500000,250.500000,246.000000,246.000000,226.333282,40818119
2018-03-01,244.000000,245.000000,242.000000,243.000000,223.573105,39719984
2018-03-02,240.000000,241.000000,238.500000,240.000000,220.812943,35139170
2018-03-05,242.500000,243.000000,240.500000,241.500000,222.193024,27337846
2018-03-06,245.500000,250.000000,245.500000,250.000000,230.013504,34890780
2018-03-07,248.000000,248.500000,246.000000,247.000000,227.253342,30391219
2018-03-08,249.500000,251.500000,249.000000,249.500000,229.553467,20645694
2018-03-09,250.000000,251.000000,248.500000,250.500000,230.473526,19831063
2018-03-12,252.000000,255.000000,251.500000,254.000000,233.693695,24492615
2018-03-13,255.500000,259.000000,255.000000,259.000000,238.293976,33756883
2018-03-14,256.500000,257.500000,255.500000,257.000000,236.453857,23772838
2018-03-15,258.000000,258.000000,255.000000,255.000000,234.613770,19396493
2018-03-16,253.000000,256.000000,249.500000,255.000000,234.613770,62929326
2018-03-19,252.500000,255.500000,251.000000,255.000000,234.613770,21440766
2018-03-20,253.000000,254.000000,251.500000,253.000000,232.773666,21840151
2018-03-21,255.000000,255.000000,251.000000,252.500000,232.313629,28976737
2018-03-22,254.500000,254.500000,249.500000,251.500000,231.393570,27000668
2018-03-23,245.000000,247.000000,244.000000,245.000000,225.413223,52498390
2018-03-26,241.500000,244.500000,241.500000,243.500000,224.033142,36987945
2018-03-27,248.000000,251.000000,247.000000,251.000000,230.933548,31008260
2018-03-28,247.500000,248.000000,244.000000,245.000000,225.413223,29637411
2018-03-29,243.000000,247.000000,242.500000,244.000000,224.493164,36165345
2018-03-30,247.500000,249.500000,246.000000,246.000000,226.333282,16996346
2018-04-02,248.500000,249.000000,245.000000,246.500000,226.793289,17696003
2018-04-03,243.000000,244.500000,242.000000,244.000000,224.493164,35813944
2018-04-09,248.000000,248.000000,243.500000,245.000000,225.413223,34694824
2018-04-10,244.500000,249.000000,243.500000,245.500000,225.873260,25156994
2018-04-11,246.500000,248.500000,246.500000,248.000000,228.173386,21607935
2018-04-12,248.500000,248.500000,244.000000,245.000000,225.413223,20409657
2018-04-13,246.000000,246.000000,244.000000,244.500000,224.953201,19742548
2018-04-16,243.000000,244.000000,242.000000,243.500000,224.033142,18350139
2018-04-17,243.000000,243.500000,237.500000,238.000000,218.972855,42756389
2018-04-18,239.500000,241.500000,236.500000,238.000000,218.972855,42500048
2018-04-19,242.000000,244.500000,241.000000,244.500000,224.953201,31901989
2018-04-20,228.000000,231.500000,228.000000,229.000000,210.692352,128452087
2018-04-23,226.500000,227.500000,225.000000,226.500000,208.392242,71009975
2018-04-24,225.000000,227.500000,225.000000,227.000000,208.852249,40967892
2018-04-25,225.500000,226.000000,224.000000,225.000000,207.012131,46771110
2018-04-26,225.000000,225.500000,221.000000,222.000000,204.251984,48023557
2018-04-27,225.000000,225.500000,221.000000,223.500000,205.632065,34174459
2018-04-30,224.500000,228.000000,222.500000,227.000000,208.852249,28500789
2018-05-02,227.000000,227.500000,222.500000,223.000000,205.172043,38167942
2018-05-03,221.000000,222.500000,220.000000,220.500000,202.871902,31690731
2018-05-04,221.000000,224.000000,220.500000,223.000000,205.172043,27208722
2018-05-07,225.000000,225.500000,221.500000,223.500000,205.632065,23268759
2018-05-08,224.000000,228.500000,223.500000,228.000000,209.772308,40324763
2018-05-09,228.500000,232.000000,228.500000,229.500000,211.152390,33778934
2018-05-10,231.000000,231.500000,229.000000,229.500000,211.152390,27530377
2018-05-11,232.000000,234.000000,230.500000,233.000000,214.372574,30693910
2018-05-14,234.500000,234.500000,232.500000,233.000000,214.372574,19921437
2018-05-15,233.500000,234.000000,229.500000,230.500000,212.072433,23771769
2018-05-16,229.500000,230.500000,228.500000,230.500000,212.072433,14409556
2018-05-17,231.000000,231.500000,226.500000,226.500000,208.392242,26852737
2018-05-18,225.500000,227.500000,223.500000,223.500000,205.632065,27664541
2018-05-21,225.000000,230.000000,225.000000,229.000000,210.692352,16127815
2018-05-22,230.000000,233.500000,229.000000,229.000000,210.692352,22355097
2018-05-23,231.500000,231.500000,228.500000,228.500000,210.232330,23062899
2018-05-24,229.500000,230.000000,228.500000,229.000000,210.692352,12996610
2018-05-25,228.500000,229.500000,228.000000,228.500000,210.232330,15971294
2018-05-28,229.500000,230.000000,226.500000,227.000000,208.852249,16373270
2018-05-29,226.500000,226.500000,223.500000,225.000000,207.012131,23764776
2018-05-30,224.000000,224.000000,220.500000,221.000000,203.331940,49163788
2018-05-31,221.500000,224.000000,220.500000,224.000000,206.092102,96069458
2018-06-01,224.500000,226.500000,224.000000,224.000000,206.092102,27617994
2018-06-04,227.500000,229.000000,227.000000,229.000000,210.692352,25959480
2018-06-05,230.000000,230.000000,226.500000,229.000000,210.692352,26534884
2018-06-06,229.000000,230.000000,227.000000,230.000000,211.612411,24767441
2018-06-07,231.000000,231.500000,228.000000,230.000000,211.612411,24958266
2018-06-08,229.000000,229.000000,226.000000,227.000000,208.852249,23548851
2018-06-11,226.500000,227.000000,225.000000,226.000000,207.932205,21696933
2018-06-12,225.000000,229.000000,224.000000,229.000000,210.692352,29501260
2018-06-13,229.000000,232.000000,228.000000,232.000000,213.452530,28944970
2018-06-14,230.000000,230.000000,226.500000,226.500000,208.392242,33408041
2018-06-15,225.000000,231.000000,224.000000,231.000000,212.532455,48059679
2018-06-19,225.500000,226.000000,224.000000,225.000000,207.012131,56889624
2018-06-20,224.500000,227.500000,223.500000,226.000000,207.932205,40708701
2018-06-21,227.500000,228.000000,226.000000,226.500000,208.392242,31242557
2018-06-22,224.500000,227.500000,224.000000,227.500000,209.312286,43581409
2018-06-25,220.000000,220.500000,218.000000,218.000000,207.881897,45025211
2018-06-26,215.500000,216.000000,212.500000,214.500000,204.544342,38446346
2018-06-27,216.000000,216.000000,212.500000,213.000000,203.113968,39888414
2018-06-28,211.000000,214.500000,210.000000,212.000000,202.160385,37940780
2018-06-29,212.000000,217.000000,212.000000,216.500000,206.451523,34313680
2018-07-02,218.500000,219.000000,214.000000,214.000000,204.067551,32449442
2018-07-03,215.500000,218.000000,213.500000,214.500000,204.544342,28323220
2018-07-04,217.000000,217.500000,215.500000,216.000000,205.974731,15212295
